"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"Bath and North East Somerset",345.88,545.5,188678,51.35604095,-2.48654008,6.30170280527313,4.12581536532504,20.3877770123222,23.3559414282533
"Bedford",476.41,356.65,169912,52.19628143,-0.45462999,5.87675490872405,3.70086746877596,15.9170149583824,18.8851793743136
"Belfast",137.72,2470.43,340220,54.59852982,-5.92535019,7.81214750353911,5.63626006359102,46.7352559895097,49.7034204054409
"Bexley",60.58,4063.03,246124,51.45820999,0.146212,8.30968427966709,6.133796839719,60.7737370304487,63.7419014463798
"Birmingham",267.79,4246.3,1137123,52.48403931,-1.88141,8.35380329450114,6.17791585455305,62.1954757524941,65.1636401684252
"Blaby",130.47,758.63,98977,52.5770607,-1.19886994,6.63151417500594,4.45562673505785,24.5750743188291,27.5432387347603
"Blackburn with Darwen",137.02,1085.75,148772,53.70080185,-2.46359992,6.99002627141493,4.81413883146684,29.9825563652596,32.9507207811908
"Blackpool",34.85,4013.31,139870,53.8216095,-3.02284002,8.29737161622431,6.12148417627622,60.3825261880394,63.3506906039705
"Blaenau Gwent",108.73,640.21,69609,51.75363922,-3.18592,6.46179624753248,4.28590880758439,22.3342070144309,25.302371430362
"Bolsover",160.33,493.33,79098,53.23875046,-1.27227998,6.20117832131047,4.02529088136238,19.2428688783575,22.2110332942887
"Bolton",139.79,2037.4,284813,53.58449173,-2.47952008,7.61942976415597,5.44354232420788,42.1694030860954,45.1375675020265
"Boston",364.89,187.69,68488,52.97793961,-0.11218,5.23479166566816,3.05890422572007,10.7318355840688,13.7
"Bournemouth",46.18,4217.41,194752,50.7448616,-1.85863996,8.34697647453624,6.17108903458815,61.9734247238489,64.9415891397801
"Bracknell Forest",109.38,1100.5,120377,51.41130066,-0.73363,7.00351990096652,4.82763246101843,30.2056204148656,33.1737848307967
"Bradford",366.42,1459.53,534800,53.84381866,-1.87389004,7.2858697450675,5.10998230511941,35.2356312070171,38.2037956229482
"Braintree",611.71,247.96,151677,51.91633987,0.57591099,5.51326744283372,3.33738000288563,12.7785812796086,15.7467456955398
"Breckland",1305.12,106.2,138602,52.59421158,0.81871599,4.66532410880784,2.48943666885975,7.33717400645943,10.3053384223906
"Brent",43.23,7612.37,329102,51.56441116,-0.27568001,8.93752983469664,6.76164239474855,84.2807324252324,87.2488968411636
"Brentwood",153.12,500.08,76575,51.64107895,0.29009101,6.21476808562356,4.03888064567547,19.3943041419003,22.3624685578314
"Bridgend",250.73,575.47,144288,51.56058121,-3.61359,6.35518709821936,4.17929965827127,21.0207913762662,23.9889557921974
"Brighton and Hove",82.79,3480.76,288155,50.84648895,-0.15079001,8.15500593972932,5.97911849978123,56.0298016507054,58.9979660666366
"Bristol, City of",109.7,4186.43,459252,51.47114944,-2.57742,8.33960362109385,6.16371618114577,61.7344630423104,64.7026274582416
"Broadland",552.4,232.68,128535,52.6962204,1.25233197,5.44966411904256,3.27377667909447,12.2856875566035,15.2538519725347
"Bromley",150.13,2193.97,329391,51.37266922,0.039246,7.69346796708627,5.51758052713818,43.8716690594347,46.8398334753658
"Bromsgrove",216.97,449.81,97594,52.36169052,-2.0037601,6.10882527138124,3.93293783143315,18.2405602039039,21.2087246198351
"Broxbourne",51.44,1880.98,96762,51.72079849,-0.05073,7.53954819660229,5.3636607566542,40.4021018963709,43.370266312302
"Broxtowe",80.1,1407.24,112718,52.9720993,-1.25943995,7.24938561826097,5.07349817831289,34.5450332616862,37.5131976776174
"Burnley",110.68,792.39,87705,53.7740593,-2.23079991,6.67505369485582,4.49916625490773,25.1812583134962,28.1494227294273
"Bury",99.46,1906.57,189628,53.5931015,-2.30879998,7.55306109511978,5.37717365517169,40.6961230510595,43.6642874669907
"Caerphilly",277.39,651.78,180795,51.65000916,-3.19753003,6.47970708167371,4.30381964172563,22.5618179577408,25.5299823736719
"Calderdale",363.96,575.49,209454,53.72048187,-1.96182001,6.35522185181636,4.17933441186827,21.021208231139,23.9893726470702
"Cambridge",40.7,3069.36,124919,52.20016861,0.126436,8.02922434979318,5.85333690984509,52.4336406088151,55.4018050247463
"Camden",21.79,11627.66,253361,51.5430603,-0.16289,9.3611420214852,7.18525458153711,104.863463597375,107.831628013306
"Cannock Chase",78.88,1256.63,99126,52.70166016,-1.98276997,7.13618881362944,4.96030137368135,32.4808130023245,35.4489774182557
"Canterbury",308.88,531.27,164100,51.28102875,1.09625697,6.27527036658882,4.09938292664073,20.0811305841334,23.0492950000645
"Cardiff",140.9,2574.6,362756,51.50254059,-3.22212005,7.85344946122553,5.67756202127745,47.7723519393445,50.7405163552757
"Carlisle",1039.3,104.18,108274,54.97867966,-2.80704999,4.64612017231705,2.47023273236896,7.23869602202918,10.2068604379603
